Document ID,Year,Source,DOI,Title,Abstract,Abstract word count,Author keywords,Index keywords,Topic probability
102,2025,Journal of Intercultural Communication,10.36923/jicc.v25i1.1006,News Media Coverage of the South African BRICS Summit Through Indigenous Languages: A Framing Analysis of SABC Mafhungo X Account,"For several decades, the use of the internet to frame stories has posed significant challenges for conventional media houses globally, including in South Africa (SA). Moreover, what remains largely unexplored is the impact of using Indigenous languages to cover international events on social media platforms in South Africa. To address this research gap, this study examines the framing strategies employed by the South African Broadcasting Corporation (SABC) Mafhungo X account (formerly Twitter) in its Tshivenḓa-language coverage of the South African BRICS Summit 2023. It also explores how online audiences engaged with and responded to this coverage. Guided by Entman’s framing theory, this study employs a qualitative content analysis of a selected sample of tweets to identify the themes, narratives, and linguistic frames used in the coverage. Additionally, sentiment analysis was conducted to assess public engagement and perception of the Summit through Tshivenḓa-language news discourse. Findings reveal that SABC Mafhungo X used a diverse range of frames, including economic development, regional cooperation, technological innovations, health, electricity, and BRICS expansion. These linguistic frames were found to resonate strongly with the predominantly Tshivenḓa-speaking audience, contributing to positive and increased engagement on X. The study concludes that Indigenous language coverage of global events enhances public engagement, broadens media representation, and challenges dominant English-centric narratives in digital media spaces. These findings underscore the importance of linguistic inclusivity in social media news discourse and suggest that similar approaches could be adopted to promote other marginalized languages in global communication. © 2025 by author(s).",247,And X (Twitter); BRICS Summit; Framing Analysis; Indigenous African Languages; News Media Coverage; Tshivenḓa,,0.022653561796249957
110,2025,Critical Public Health,10.1080/09581596.2025.2486499,From fear to hope: representations of dementia in the Australian news media,"Dementia is a global public health concern and has been identified as a key health concern among older people. A diagnosis of dementia and the subsequent symptoms associated with dementia progression can be distressing for both people with dementia and their loved ones, and people may experience significant fear around dementia diagnosis. This can lead to stigmatisation of dementia. Topics related to dementia are frequently covered by the news media. Given the potential for news media to impact societal narratives, this study aimed to explore how dementia was discussed in Australian news media. A search was conducted across Australian news media platforms for articles related to dementia. A total of 168 relevant articles were identified and analysed using reflexive thematic analysis. Five themes were identified: (1) Dementia is a condition to be feared; (2) Search for understanding; (3) Increasing dementia rates are problematic for society; (4) Broader society’s role in dementia narratives; and (5) “Life doesn’t end with dementia”: Expressions of hope. While fear-based reporting was apparent in much of the data, a trend towards more positive and inclusive reporting was also evident. However, more work is needed to ensure that authentic voices of people with dementia are heard. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",214,Dementia; discourse; media review; qualitative; stigma,Alzheimer disease; Article; artificial intelligence; chronic inflammation; dementia; disease severity; economic aspect; fear; funding; hope; human; intestine flora; mass communication; media economics; medical care; neuropathology; news media; news source; obesity; publication; smoking; social engagement; stigma; thematic analysis,0.06510085004122025
114,2025,Advances in Autism,10.1108/AIA-05-2025-0050,From misunderstanding towards recognition: narratives of autistic women and girls in news articles,"Purpose – This study aims to examine news article stories portraying autistic women’s and girls’ life experiences of being neurodivergent to gain a deeper understanding of their recognition in societal discussions. Design/methodology/approach – The authors used narrative and inductive and theory-driven thematic approaches to analyse news articles. This study’s theory-driven data analysis phase was guided by Honneth’s recognition framework. Findings – The analysis revealed dimensions of misrecognition in multiple spheres of life. These dimensions became visible, for example, as physical and social struggles, delayed or denied access to services and the desire to be openly autistic. The authors conclude that autistic women and girls are lacking recognition in society. Practical implications – In spite of the increasing representations in the media, a larger understanding of the unique ways of being an autistic woman or a girl is needed. Practical implications for using the recognition framework as a tool for developing recognition will also be discussed. Originality/value – Research on women’s and girls’ experiences of being autistic in news stories from the recognition perspective is scarce, particularly in the Finnish context. The media has a powerful role in society as an information producer. Combining the knowledge gap with the available data in the media, the authors provide windows on the narratives of autistic women and girls. © 2025 Emerald Publishing Limited",220,Autism; Media; Neurodiversity; Recognition; Thematic analysis; Women,,0.031273399118084355
122,2025,Journal of Social Psychology,10.1080/00224545.2024.2356814,News media consumption and support for counter-terrorism measures: the role of hatred and fear,"Media are a key social agent shaping society’s responses to measures implemented in the fight against terrorism. We argue that emotions elicited by media narratives on terrorist attacks are decisive to understand the link between the news media consumption and citizens’ support for military intervention in the Middle East, as well as for security measures in the home country. In two studies conducted after the Brussels attacks (N = 250) and the Barcelona attacks (N = 633), we tested the explanatory role of emotions–specifically fear and hatred–in the association between media narratives and these two outcomes. The results of both studies show that hatred explained the positive relationship between news media consumption and support for military intervention, and to a lesser degree, agreement with security measures. In contrast, the positive relationship between news media consumption and agreement with security measures was explained by fear. This research underscores the need to consider how emotions are utilized in media discourse. We discuss practical implications of our findings for promoting ethical journalism. © 2024 Taylor & Francis.",174,Fear; hatred; news media consumption; support for military intervention; support for security measures; terrorism,Adult; Emotions; Fear; Female; Humans; Male; Mass Media; Middle Aged; Security Measures; Terrorism; Young Adult; article; emotion; fear; female; human; male; Middle East; terrorism; therapy; warfare; adult; emotion; mass medium; middle aged; organization and management; psychology; young adult,0.050228845339967666
124,2025,Journalism,10.1177/14648849241255029,"The use of the term Black, Asian and Minority Ethnic in The Voice and Eastern Eye newspapers, a discourse analysis of Covid news stories in the UK press","This study finds that during the pandemic the UK mainstream press presented a blame narrative in their news stories when discussing BAME communities in relation to Covid-19. Articles from The Voice and Eastern Eye newspapers aimed at diasporic readers were contrasted with stories from UK mainstream press, published during the first lockdown in the UK. An intersectional approach was taken to examine news articles published between March and July 2020. The analysis revealed a failure in the British mainstream press to recognise structural and systemic racism when reporting Covid related stories. In contrast, the ethnic press looked for solutions and tried to examine structural racism. A deficit approach is evident in the mainstream press that sought to apportion blame to cultures, faith, and customs. There is a focus on the terminology BAME (Black Asian and minority ethnic) used as a formal descriptor by the UK Government and media to describe minority communities. The term is now defunct. It is acknowledged that Covid-19 accentuated differences that already existed in society, particularly those pertaining to race. Research has also evidenced that mainstream news organisations can be overly critical of minority communities, conflating their perceived flaws and condemning minorities as a method to delegitimise claims of mistreatment or differential outcomes. © The Author(s) 2024.",211,BAME; covid-19; ethnic press; inequality; intersectionality; racism; The Eastern Eye; The voice,,0.05320162797268615
125,2026,Mediterranean Politics,10.1080/13629395.2026.2645780,Communication geography and the spatio-discursive construction of BRI projects: Geographical frames in media discourses on Piraeus Port,"The Belt and Road Initiative (BRI) has garnered significant attention from geographers worldwide, yet few have focused on its communicative aspects. This article examines the BRI from a communication geography perspective that integrates media studies and geographical analysis. We focus on the role of media narratives in the spatio-discursive construction of a flagship BRI project—Piraeus Port in Greece. This construction involves a complex, competitive process among media outlets in different countries. Based on framing theory, we analysed 519 online news articles about Piraeus Port, written in Greek and English and originating from five countries (China, France, Greece, the UK, and the US), to reveal four major geographical frames: geopolitics, geoeconomics, local development, and governance. These frames operate at different scales, invoke different spatial imaginaries, and frame Piraeus Port differently as a symbol of peaceful coexistence, a geopolitical hotspot amid intensifying China—US tensions, a harbinger of economic prosperity, a local space of everyday life and production undergoing transformation, and a zone of exception marked by illicit activities. We further conducted a cross-country analysis and found that, while most news coverage adopted a positive view of the port project, Western media outlets were more critical than their Chinese counterparts. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",212,Belt and road initiative; China; communication geography; Greece; Piraeus Port,,0.09491422731520831
134,2026,International Journal of Entrepreneurial Behaviour and Research,10.1108/IJEBR-05-2025-0643,"Entrepreneurial finance, news media narratives, and productive entrepreneurship in Rwanda's entrepreneurial ecosystem: an entrepreneurial resourcefulness perspective","Purpose – This multi-study paper investigates how entrepreneurial financing practices and news media narratives shape entrepreneurial resourcefulness and productive entrepreneurship within Rwanda's orchestrated entrepreneurial ecosystem. Design/methodology/approach – Study 1 examines survey data of entrepreneurial financing, while Study 2 assesses news media narratives via quantitative linguistic analysis. Findings – Local entrepreneurs demonstrate resourcefulness by preferring informal finance, thus enabling Baumolian productive entrepreneurship (Study 1). Conversely, elite neoliberal narratives articulated by news media promoted top-down globalization rhetoric, potentially enabling unproductive entrepreneurship (rent-seeking) and contradicting grassroots practices in the Rwandan entrepreneurial ecosystem (Study 2). Originality/value – The study advances understanding of how entrepreneurial finance, news media, and entrepreneurial resourcefulness co-constitute (productive) entrepreneurship in African entrepreneurial ecosystems, with broader implications for entrepreneurial policy and practice. © Mary-Paz Arrieta-Paredes, Aaron van Klyton, Jonathan M. Scott, James Danowski, Kevin Duque and Vedaste Byombi Kamasa",138,Entrepreneurial ecosystems; Entrepreneurial finance; Entrepreneurial resourcefulness; News media; Rwanda,,0.02076157969255073
142,2026,Journal of Computational Social Science,10.1007/s42001-026-00474-3,An interpretable method of political bias detection in news media through entity framing analysis,"This paper introduces a computational framework for classifying entity role framing in unstructured textual data, with a significant application in quantitatively measuring and understanding political bias in news media. Traditional approaches to political bias analysis have often relied on less interpretable quantitative metrics, creating a demand for more transparent and nuanced computational solutions. The interpretability of our approach stems from the explicit identification of entities and the specific roles (hero, villain, victim) assigned, offering a direct insight into the narrative strategies employed. Building on previous works on computational modelling of entity framing in multimodal content, we examine the efficacy of textual features for this task, using three experimental setups of increasing complexity and two language models. Crucially, when applied to a corpus of politically diverse news outlets in the US and UK, the framework successfully quantifies polarised patterns in how media sources frame political entities, demonstrating clear alignment with established media bias measurements. This methodological framework provides a systematic approach to mapping entity framing patterns to political orientation, thereby creating a more interpretable and nuanced measure of polarisation in digital news ecosystems. The framework can serve as a valuable tool for scholars and practitioners in political communication, journalism, and computational social science seeking to understand the dynamics of digital news ecosystems. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2026.",224,Framing; Media bias; Natural language processing; Polarisation; Political communication,,0.09117378240054692
145,2025,Behavior Research Methods,10.3758/s13428-024-02553-7,"EmoAtlas: An emotional network analyzer of texts that merges psychological lexicons, artificial intelligence, and network science","We introduce EmoAtlas, a computational library/framework extracting emotions and syntactic/semantic word associations from texts. EmoAtlas combines interpretable artificial intelligence (AI) for syntactic parsing in 18 languages and psychologically validated lexicons for detecting the eight emotions in Plutchik’s theory. We show that EmoAtlas can match or surpass transformer-based natural language processing techniques, BERT or large language models like ChatGPT 3.5 or LLaMAntino, in detecting emotions from Italian and English online posts and news articles (e.g., achieving 85.6% accuracy in detecting anger in posts vs the 68.8% value of ChatGPT and 89.9% value for BERT). EmoAtlas presents important advantages in terms of speed and absence of fine-tuning, e.g., it runs 12x faster than BERT on the same data. Testing EmoAtlas’ and easily trainable transformers’ relevance in a psychometric task like reproducing human creativity ratings for 1071 short texts, we find that EmoAtlas and BERT obtain equivalent predictive power (fourfold cross-validation, ρ≈0.495, p<10-4). Combining BERT’s semantic features with EmoAtlas’ emotional/syntactic networks of words gets substantially better at estimating creativity rates of stories (ρ=0.628, p<10-4). This indicates an interplay between the creativity of narratives and their semantic, emotional, and syntactic structure. Via interpretable emotional profiles and syntactic networks, EmoAtlas can also quantify how emotions are channeled through specific words in texts, e.g., how did customers frame their ideas and emotions towards ”beds” in hotel reviews? We release EmoAtlas as a standalone ”text as data” computational tool and discuss its impact in extracting interpretable and reproducible insights from texts. © The Psychonomic Society, Inc. 2025.",250,Affective computing; Artificial psychometrics; Cognitive networks; Emotional analysis; Frame semantics; Text analysis,Artificial Intelligence; Creativity; Emotions; Humans; Language; Natural Language Processing; Semantics; artificial intelligence; creativity; emotion; human; language; natural language processing; physiology; semantics,0.16655023601351332
147,2026,Environmental Communication,10.1080/17524032.2026.2634164,Toxic Trash or Economic Treasure: An Analysis of How E-waste is Framed in the Ghanaian Media,"The increasing global demand for electrical and electronic equipment (EEE) has led to a significant rise in e-waste production. Ghana, home to one of the largest e-waste dumpsites in the world (Agbogbloshie), receives substantial amounts of e-waste from developed nations. While much research has focused on Ghana's e-waste management challenges, few studies have explored the role of the media in addressing this issue. This study seeks to fill that gap by analyzing how the Ghanaian media have reported on the e-waste problem through framing analysis. Employing a four-frame analysis function, namely: responsibility, economic impact, human and environmental effects, and remedy, the findings reveal that the Ghanaian media tend to focus on positive narratives, emphasizing resolutions rather than the underlying causes and consequences. The study concludes that the Ghanaian media should adopt a more critical, evidence-based, and inclusive approach to encourage meaningful action against this complex global issue. The study has implications for health and environmental communication in Ghana and the development of African environmental knowledge within the Ghanaian context. © 2026 Informa UK Limited, trading as Taylor & Francis Group.",180,E-waste; environmental communication; framing; Ghana; news media,,0.018570131973015228
191,2026,Frontiers in Sustainable Food Systems,10.3389/fsufs.2025.1680618,Multidimensional analysis of food security and safety in China: insights from overseas think tanks and media,"Amid worldwide reforms to the food supply chain and increasing threats of foodborne diseases, food security and safety have become crucial to national sovereignty and economic resilience. Previous studies have focused on specific areas and individual perspectives. We explored the multidimensional aspects, underlying causes, and proposed countermeasures related to food security and safety in China, utilising analyses from overseas think tanks and international media to better address uncertainties in the global food market. This analysis examined 547 reports from the 10 leading food security think tanks worldwide and 269 news articles from 170 major international media outlets published over the past 30 years. Using semantic network and sentiment analyses, the study examined cognitive similarities and differences, causal factors, and countermeasures within a strategic intelligence framework that incorporates spatial, temporal, and emotional dimensions. International think tanks and media broadly agree that China remains a key focus of global coverage, particularly in climate change and sustainable agriculture. Nevertheless, differences emerge in narrative reasoning, timescales, and suggested remedies. Think tanks from four countries display different spatial frameworks, while media reports show diverse positions influenced by economic structures, geopolitical factors, and industrial traits. Think tanks use more professional and policy-focused language, whereas media coverage tends to be more life-oriented and driven by events. Cognitive distinctions among strategic intelligence organizations arise from their institutional roles, information-processing methods, risk assessment, and stakeholder priorities. Therefore, China should adopt a comprehensive approach to agriculture and food production, systematically address the factors that transmit external cognitive biases, and continually enhance food safety, agricultural modernization, social co-governance and sharing, as well as international regulation and collaboration. These measures will help in developing a comprehensive discourse framework on food security and safety that reflects China's unique context. Copyright © 2026 Fang and Guo.",292,food safety; food security; global think tanks; media outlets; strategic intelligence,,0.11769344726609454
203,2026,Journal of Australian Studies,10.1080/14443058.2025.2611790,Isn’t It Iconic? A Brand History of Medicare,"Medicare is widely recognised as one of Australia’s most trusted and enduring public sector brands, often described as “iconic” in political discourse and consistently ranked highly in measures of public trust. Less understood, however, are the symbolic strategies and cultural rituals that have helped consolidate Medicare’s position in the Australian imagination. Drawing on advertising campaigns, archival records, news media and political commentary, this article examines how Medicare has achieved a level of cultural importance uncommon among Australian public-sector brands. Using the brand’s launch campaign in the 1980s as a foundation, the article explores how visual strategies—including the use of green and gold, the design of branded offices and the Medicare card—aligned Medicare with middle-class aspiration and the broader discourse of new nationalism. Through narrative analysis, the article also considers how everyday rituals, such as queuing for rebates, contributed to affective experiences that embedded the brand within cultural memory. By situating Medicare within a longer process of meaning making, the article highlights how its brand has been shaped through symbolic practices that continue to inform public understanding despite changes in its institutional function. © 2026 International Australian Studies Association.",188,brand history; cultural memory; Medicare; public sector branding; universal health care,,0.04347383203150006
